Model,F1 Score (Class 1 - Click),Precision (Class 1),Recall (Class 1),Accuracy
KNN,0.2646941223510596,0.37613636363636366,0.2041949413942011,0.7549960031974421
SVM,0.16296683207103682,0.5315161839863713,0.09623689080814313,0.7865041300293099
Naive Bayes,0.3010942463819273,0.3518976897689769,0.2631091918568785,0.7362110311750599
